wiek	naukaLata	edukacja	plec	wiaraZyciePo	szczescie	jakieZycie	fortunaEndPraca	gazetyCzesto	ogladaTVGodz	korzystaWWW	zodiak	dochod	ileGodzPracuje
31	16	Licencjat	Mezczyzna	Nie	Bardzo szczesliwy	NA	NA	Raz w tygodniu	1	Tak	Koziorozec	$110000 OR OVER	8
67	12	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Ekscytujace	NA	Codziennie	2	Nie	Byk	$60000 TO 74999	3
45	19	Magisterium	Kobieta	Nie	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	1	Tak	Waga	$60000 TO 74999	9
60	19	Magisterium	Kobieta	Nie	Nieszczesliwy	Ekscytujace	Nie	NA	NA	Tak	Baran	$40000 TO 49999	7
33	18	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	1	Tak	Strzelec	$110000 OR OVER	12
65	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Mniej niz raz w tygodniu	6	Nie	Waga	$40000 TO 49999	5
41	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Tak	Panna	$35000 TO 39999	7
47	NA	Szkola zawodowa	Kobieta	Nie	Bardzo szczesliwy	NA	Nie	Kilka razy w tygodniu	2	Nie	Wodnik	NA	12
47	20	Magisterium	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	1	Tak	Skorpion	$110000 OR OVER	12
89	17	Magisterium	Mezczyzna	Nie	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Koziorozec	NA	0
43	16	Licencjat	Mezczyzna	Nie	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Lew	$110000 OR OVER	10
37	16	Licencjat	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	1	Tak	Rak	$110000 OR OVER	12
83	20	Magisterium	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	Codziennie	0	Tak	Byk	$110000 OR OVER	0
48	20	Magisterium	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	Nie	Raz w tygodniu	4	Tak	Waga	$40000 TO 49999	6
87	9	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	Rutynowe	NA	Raz w tygodniu	4	Nie	Strzelec	$6 000 TO 6 999	0
44	15	Policealna	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	1	Nie	Byk	NA	10
78	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	1	Nie	Rak	$8 000 TO 9 999	9
67	NA	Szkola zawodowa	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Nie	Baran	NA	2
21	13	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Kilka razy w tygodniu	5	Tak	Strzelec	$20000 TO 22499	8
73	12	Szkola zawodowa	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Tak	Waga	$35000 TO 39999	1
33	16	Licencjat	Kobieta	Nie	Dosc szczesliwy	NA	Nie	Codziennie	3	Nie	Baran	NA	6
52	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Nie	Strzelec	$35000 TO 39999	6
72	14	Policealna	Kobieta	Nie	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	1	Nie	Ryby	NA	2
51	14	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	NA	NA	Tak	Baran	NA	11
64	18	Magisterium	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Raz w tygodniu	8	Tak	Strzelec	$15000 TO 17499	4
33	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	4	Nie	Waga	$30000 TO 34999	7
25	9	Szkola zawodowa	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	Tak	Codziennie	3	Nie	Ryby	NA	6
49	11	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	3	Nie	Waga	NA	6
76	8	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Koziorozec	NA	1
62	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Nudne	NA	Codziennie	2	Nie	Panna	NA	9
43	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Tak	Rak	$60000 TO 74999	4
59	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	2	Tak	Lew	NA	9
35	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	1	Tak	Bliznieta	$110000 OR OVER	12
54	18	Magisterium	Kobieta	Nie	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Strzelec	$110000 OR OVER	13
47	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	3	Tak	Rak	$110000 OR OVER	8
42	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	1	Nie	Strzelec	$40000 TO 49999	11
31	12	Szkola srednia	Kobieta	Tak	Nieszczesliwy	NA	NA	Mniej niz raz w tygodniu	2	Nie	Panna	$25000 TO 29999	8
37	13	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	NA	NA	NA	Nie	Ryby	$1 000 TO 2 999	10
55	15	Policealna	Kobieta	Tak	Nieszczesliwy	Ekscytujace	Nie	Mniej niz raz w tygodniu	12	Tak	Panna	$60000 TO 74999	1
51	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	5	Nie	Wodnik	$3 000 TO 3 999	6
36	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Lew	$90000 - $109999	9
42	11	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	Raz w tygodniu	6	Tak	Skorpion	$110000 OR OVER	7
21	12	Szkola srednia	Mezczyzna	Nie	Nieszczesliwy	NA	NA	Kilka razy w tygodniu	4	Tak	Wodnik	$20000 TO 22499	8
39	16	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Nigdy	0	Tak	Panna	$110000 OR OVER	13
50	16	Licencjat	Mezczyzna	Tak	Nieszczesliwy	Nudne	Tak	Codziennie	1	Tak	Lew	$50000 TO 59999	11
43	20	Magisterium	Kobieta	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	1	Tak	Rak	$75000 TO $89999	9
32	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	Nie	NA	NA	Tak	Skorpion	$60000 TO 74999	5
37	15	Policealna	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Codziennie	1	Tak	Skorpion	$110000 OR OVER	11
36	14	Policealna	Kobieta	Tak	Bardzo szczesliwy	NA	NA	Codziennie	2	Tak	Strzelec	$90000 - $109999	11
59	15	Policealna	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Panna	$110000 OR OVER	1
66	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Ekscytujace	NA	NA	NA	Nie	Panna	$3 000 TO 3 999	2
45	18	Policealna	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	6	Tak	Waga	$110000 OR OVER	6
37	19	Magisterium	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Baran	$110000 OR OVER	9
41	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	4	Tak	Bliznieta	$110000 OR OVER	7
32	11	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Byk	$50000 TO 59999	9
60	13	Szkola srednia	Mezczyzna	Nie	Bardzo szczesliwy	NA	NA	Codziennie	2	Tak	Panna	$75000 TO $89999	13
46	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Tak	Bliznieta	NA	10
33	16	Licencjat	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Skorpion	$50000 TO 59999	5
40	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Nudne	Nie	NA	NA	Nie	Strzelec	$20000 TO 22499	4
76	12	Szkola srednia	Mezczyzna	Nie	Bardzo szczesliwy	NA	NA	Codziennie	2	Nie	Skorpion	$90000 - $109999	2
47	12	Szkola srednia	Mezczyzna	Nie	Nieszczesliwy	Rutynowe	Tak	NA	NA	Tak	Rak	$25000 TO 29999	11
50	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Rutynowe	Nie	Nigdy	12	Nie	Rak	UNDER $1 000	1
44	9	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Nie	Rak	$30000 TO 34999	1
64	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	Kilka razy w tygodniu	2	Nie	Strzelec	$22500 TO 24999	10
23	13	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	NA	NA	NA	NA	Tak	Panna	NA	7
77	9	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	6	Nie	Waga	$22500 TO 24999	1
35	8	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	NA	Nie	NA	NA	Nie	Strzelec	$12500 TO 14999	9
50	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Nie	Lew	$12500 TO 14999	0
25	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	Rutynowe	NA	Nigdy	4	Nie	Ryby	$17500 TO 19999	6
30	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	5	Nie	Strzelec	$17500 TO 19999	7
32	14	Policealna	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Tak	Panna	$30000 TO 34999	0
62	14	Szkola srednia	Mezczyzna	Nie	Dosc szczesliwy	NA	NA	NA	NA	Tak	Rak	$40000 TO 49999	5
33	12	Szkola srednia	Kobieta	Tak	Nieszczesliwy	NA	NA	Codziennie	2	Nie	Bliznieta	$15000 TO 17499	11
67	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Rak	$10000 TO 12499	1
24	12	Szkola srednia	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Kilka razy w tygodniu	2	Nie	NA	$3 000 TO 3 999	13
43	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	4	Tak	Waga	$50000 TO 59999	8
53	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Nigdy	4	Tak	Rak	$22500 TO 24999	7
59	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	Codziennie	1	Tak	Skorpion	NA	9
33	17	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	2	Nie	Lew	$50000 TO 59999	9
48	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Tak	Skorpion	$75000 TO $89999	1
56	18	Magisterium	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	Tak	NA	NA	Tak	Strzelec	$90000 - $109999	11
61	7	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	Rutynowe	NA	Codziennie	12	Nie	Lew	$20000 TO 22499	0
73	18	Magisterium	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	3	Nie	Ryby	$40000 TO 49999	3
46	18	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	2	Tak	Koziorozec	$40000 TO 49999	9
48	12	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Nie	Skorpion	$22500 TO 24999	2
37	15	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	0	Tak	Waga	$60000 TO 74999	13
40	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	2	Tak	Skorpion	$40000 TO 49999	9
72	8	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	Kilka razy w tygodniu	3	Nie	Ryby	$22500 TO 24999	1
61	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	5	Nie	Waga	$30000 TO 34999	8
56	11	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Waga	$35000 TO 39999	4
48	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	2	Tak	Waga	NA	11
20	10	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	1	Nie	Bliznieta	NA	11
23	13	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	NA	Kilka razy w tygodniu	2	Tak	Koziorozec	$15000 TO 17499	13
37	15	Policealna	Mezczyzna	Tak	Dosc szczesliwy	Nudne	Nie	NA	NA	Nie	Ryby	$25000 TO 29999	10
34	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	3	Tak	Waga	$40000 TO 49999	7
61	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	4	Tak	Bliznieta	$60000 TO 74999	8
80	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Ryby	$8 000 TO 9 999	0
88	8	Szkola zawodowa	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	5	Nie	Panna	$15000 TO 17499	0
46	2	Szkola zawodowa	Kobieta	Tak	Nieszczesliwy	Rutynowe	Tak	NA	NA	Nie	Skorpion	$17500 TO 19999	0
48	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Baran	$90000 - $109999	7
46	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Skorpion	$60000 TO 74999	3
76	20	Magisterium	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	3	Nie	Panna	$40000 TO 49999	1
24	16	Licencjat	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Bliznieta	$30000 TO 34999	8
80	8	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	6	Nie	Baran	$8 000 TO 9 999	0
72	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	5	Nie	Panna	$10000 TO 12499	1
45	12	Szkola srednia	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Tak	Wodnik	$90000 - $109999	4
67	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	2	Nie	Panna	$50000 TO 59999	1
49	18	Magisterium	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Lew	$75000 TO $89999	7
41	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	3	Nie	Bliznieta	$10000 TO 12499	6
35	14	Szkola zawodowa	Kobieta	Nie	Bardzo szczesliwy	NA	NA	Mniej niz raz w tygodniu	1	Tak	Panna	NA	13
59	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Nigdy	3	Nie	Panna	NA	8
67	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	2	Nie	Bliznieta	$8 000 TO 9 999	2
78	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	4	Tak	Baran	$25000 TO 29999	6
68	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Tak	Waga	$90000 - $109999	2
48	20	Magisterium	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	Codziennie	0	Tak	Baran	$110000 OR OVER	13
39	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	2	Tak	Lew	$60000 TO 74999	10
51	14	Policealna	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Strzelec	$35000 TO 39999	6
21	8	Szkola zawodowa	Mezczyzna	Tak	Nieszczesliwy	NA	NA	Raz w tygodniu	3	Nie	Skorpion	$3 000 TO 3 999	6
65	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Rak	$3 000 TO 3 999	8
57	14	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	8	Tak	Bliznieta	$35000 TO 39999	5
39	9	Szkola srednia	Kobieta	Nie	Nieszczesliwy	Nudne	NA	NA	NA	Tak	Lew	$8 000 TO 9 999	7
25	16	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	NA	NA	Raz w tygodniu	3	Tak	Ryby	$20000 TO 22499	8
46	13	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Ryby	$25000 TO 29999	7
33	13	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	1	Tak	Rak	$60000 TO 74999	10
25	14	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Tak	Raz w tygodniu	4	Tak	Ryby	$50000 TO 59999	8
30	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Nie	Bliznieta	$12500 TO 14999	6
43	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Tak	Codziennie	0	Tak	Skorpion	$40000 TO 49999	8
33	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	Nie	Codziennie	6	Tak	Wodnik	$110000 OR OVER	6
42	14	Policealna	Kobieta	Tak	Dosc szczesliwy	NA	NA	Codziennie	1	Tak	Ryby	$60000 TO 74999	11
35	16	Licencjat	Kobieta	Nie	Bardzo szczesliwy	Rutynowe	Tak	NA	NA	Tak	Koziorozec	$90000 - $109999	6
23	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Kilka razy w tygodniu	5	Nie	Wodnik	NA	8
55	16	Licencjat	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	Tak	Codziennie	3	Tak	Rak	$110000 OR OVER	7
25	14	Policealna	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Tak	NA	NA	Tak	Panna	NA	0
67	14	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	Mniej niz raz w tygodniu	3	Tak	Rak	$7 000 TO 7 999	2
86	11	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Nie	Koziorozec	$35000 TO 39999	0
20	13	Szkola srednia	Mezczyzna	Nie	Bardzo szczesliwy	NA	NA	Mniej niz raz w tygodniu	2	Tak	Waga	$12500 TO 14999	13
22	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	Tak	NA	NA	Tak	Wodnik	$35000 TO 39999	0
57	14	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Kilka razy w tygodniu	1	Tak	Koziorozec	$75000 TO $89999	11
39	13	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Nudne	Tak	Codziennie	4	Tak	Bliznieta	$35000 TO 39999	7
62	14	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	Tak	NA	NA	Nie	Koziorozec	$90000 - $109999	7
27	10	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Kilka razy w tygodniu	5	Nie	Panna	$3 000 TO 3 999	8
NA	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	2	NA	NA	NA	12
36	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Panna	$40000 TO 49999	6
53	16	Licencjat	Kobieta	Nie	Nieszczesliwy	Nudne	Nie	Raz w tygodniu	0	Nie	Waga	$7 000 TO 7 999	9
51	13	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	Nie	NA	NA	Tak	Rak	$30000 TO 34999	1
70	10	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	Nie	NA	NA	Nie	Bliznieta	$20000 TO 22499	1
68	16	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	3	Tak	Rak	$50000 TO 59999	3
83	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	5	Nie	Byk	$40000 TO 49999	0
65	16	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Tak	NA	NA	Tak	Ryby	$50000 TO 59999	5
38	16	Licencjat	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Tak	Codziennie	1	Tak	Rak	$75000 TO $89999	10
71	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	3	Nie	Ryby	$40000 TO 49999	2
84	2	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Nie	Koziorozec	$110000 OR OVER	0
35	16	Policealna	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Waga	$17500 TO 19999	11
27	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	NA	Codziennie	0	Tak	Rak	$50000 TO 59999	11
80	16	Licencjat	Kobieta	Nie	Nieszczesliwy	Rutynowe	NA	NA	NA	Nie	Baran	NA	0
50	16	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Nie	Codziennie	2	Tak	Byk	$50000 TO 59999	8
57	18	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Strzelec	$30000 TO 34999	8
76	12	Szkola zawodowa	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	NA	Codziennie	4	Nie	Byk	$20000 TO 22499	3
46	9	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Rutynowe	Nie	NA	NA	Nie	Baran	$50000 TO 59999	0
71	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	Codziennie	4	Nie	Bliznieta	NA	2
71	12	Szkola srednia	Kobieta	Nie	Bardzo szczesliwy	Rutynowe	NA	NA	NA	Nie	Strzelec	$22500 TO 24999	3
36	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Rutynowe	Nie	NA	NA	Tak	Skorpion	$30000 TO 34999	6
64	14	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	NA	Kilka razy w tygodniu	4	Nie	Bliznieta	$22500 TO 24999	8
73	6	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	3	Nie	Panna	$3 000 TO 3 999	2
71	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	2	Nie	Koziorozec	$12500 TO 14999	2
83	12	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Codziennie	4	Nie	Koziorozec	NA	0
76	8	Szkola zawodowa	Kobieta	Nie	Dosc szczesliwy	Rutynowe	NA	Codziennie	1	Nie	Wodnik	$8 000 TO 9 999	2
46	18	Magisterium	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Wodnik	$30000 TO 34999	6
50	14	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	Codziennie	2	Nie	Panna	$10000 TO 12499	12
44	13	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Bliznieta	$50000 TO 59999	1
52	20	Magisterium	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Kilka razy w tygodniu	2	Tak	Strzelec	$35000 TO 39999	8
70	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Nie	Baran	NA	3
28	13	Szkola srednia	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	5	Tak	Rak	$4 000 TO 4 999	6
46	9	Szkola zawodowa	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	Nie	NA	NA	Nie	Wodnik	$10000 TO 12499	0
33	9	Szkola zawodowa	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	Nie	NA	NA	Nie	Bliznieta	$30000 TO 34999	5
42	10	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Mniej niz raz w tygodniu	5	Nie	Byk	$30000 TO 34999	6
59	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Rutynowe	Tak	NA	NA	Tak	Waga	$40000 TO 49999	4
21	14	Policealna	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Codziennie	1	Tak	Bliznieta	NA	12
25	17	Licencjat	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Mniej niz raz w tygodniu	0	Tak	Ryby	$10000 TO 12499	13
38	12	Szkola srednia	Kobieta	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Byk	$30000 TO 34999	1
27	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Tak	Kilka razy w tygodniu	2	Tak	Panna	$22500 TO 24999	10
50	12	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Codziennie	1	Nie	Koziorozec	$50000 TO 59999	12
31	11	Szkola zawodowa	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	Nie	NA	NA	Tak	Baran	$30000 TO 34999	2
37	12	Szkola srednia	Kobieta	Tak	Bardzo szczesliwy	Ekscytujace	Nie	Nigdy	2	Nie	Bliznieta	$30000 TO 34999	11
67	14	Policealna	Kobieta	Tak	Dosc szczesliwy	Ekscytujace	NA	NA	NA	Tak	Waga	$110000 OR OVER	2
33	10	Szkola zawodowa	Mezczyzna	Tak	Dosc szczesliwy	NA	NA	Kilka razy w tygodniu	5	Nie	Baran	$10000 TO 12499	7
30	11	Szkola srednia	Kobieta	Nie	Bardzo szczesliwy	Ekscytujace	Nie	Nigdy	3	Nie	Panna	$30000 TO 34999	7
28	13	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Kilka razy w tygodniu	1	Tak	Rak	$40000 TO 49999	8
60	15	Policealna	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	NA	NA	NA	Nie	Skorpion	$10000 TO 12499	1
57	17	Licencjat	Mezczyzna	Tak	Dosc szczesliwy	Rutynowe	Tak	Kilka razy w tygodniu	3	Tak	Bliznieta	$60000 TO 74999	6
56	14	Szkola srednia	Mezczyzna	Tak	Bardzo szczesliwy	NA	NA	Kilka razy w tygodniu	3	Tak	Strzelec	$110000 OR OVER	8
